sample_idx,seed,strategy,ok,error,completion_rate,overall_on_time_rate,conditional_on_time_rate,blocked_sec,makespan,mean_tardy_over_completed_sec,mean_tardy_over_late_sec
108,108,EDD,1,,0.57929,0.51429,0.88779,,424720.77,20039.42,178593.1
108,108,COLOR_GROUP,1,,0.57929,0.51476,0.88861,,424720.77,19994.01,179503.39
108,108,LOAD_BALANCE,1,,0.57929,0.51429,0.88779,,424720.77,19732.46,175857.44
108,108,OPTIMIZED,1,,0.6281,0.59429,0.94617,,424752.69,4385.44,81470.35
109,109,EDD,1,,0.57405,0.51381,0.89506,,424653.93,19336.8,184272.81
109,109,COLOR_GROUP,1,,0.57476,0.51381,0.89395,,424740.76,19552.29,184372.01
109,109,LOAD_BALANCE,1,,0.57405,0.51381,0.89506,,424653.93,19332.29,184229.84
109,109,OPTIMIZED,1,,0.625,0.59476,0.95162,,424775.2,4699.76,97140.72
110,110,EDD,1,,0.58024,0.51571,0.8888,,424732.16,19564.55,175936.52
110,110,COLOR_GROUP,1,,0.58024,0.51571,0.8888,,424732.16,19573.16,176014.0
110,110,LOAD_BALANCE,1,,0.58024,0.51571,0.8888,,424732.16,19558.71,175884.08
110,110,OPTIMIZED,1,,0.62976,0.59548,0.94556,,424778.67,4361.04,80103.91
111,111,EDD,1,,0.57048,0.51524,0.90317,,424656.51,17657.99,182364.39
111,111,COLOR_GROUP,1,,0.57048,0.51524,0.90317,,424656.51,17631.43,182090.07
111,111,LOAD_BALANCE,1,,0.57048,0.51524,0.90317,,424656.51,17636.72,182144.73
111,111,OPTIMIZED,1,,0.62476,0.595,0.95236,,424756.93,4602.87,96623.43
112,112,EDD,1,,0.5769,0.515,0.8927,,424746.01,20044.14,186795.93
112,112,COLOR_GROUP,1,,0.5769,0.51524,0.89311,,424746.01,19936.03,186505.83
112,112,LOAD_BALANCE,1,,0.5769,0.515,0.8927,,424746.01,19995.33,186341.06
112,112,OPTIMIZED,1,,0.625,0.59143,0.94629,,424787.69,5064.11,94278.59
113,113,EDD,1,,0.56048,0.50786,0.90612,,419787.42,18445.28,196471.46
113,113,COLOR_GROUP,1,,0.56048,0.50786,0.90612,,419787.42,18444.87,196467.12
113,113,LOAD_BALANCE,1,,0.56048,0.50786,0.90612,,419787.42,18433.67,196347.81
113,113,OPTIMIZED,1,,0.6081,0.5769,0.94871,,419799.91,5652.63,110204.77
114,114,EDD,1,,0.57905,0.51548,0.89021,,424777.78,19038.4,173413.43
114,114,COLOR_GROUP,1,,0.57905,0.51548,0.89021,,424777.78,19035.51,173387.14
114,114,LOAD_BALANCE,1,,0.57905,0.51548,0.89021,,424777.78,19038.29,173412.44
114,114,OPTIMIZED,1,,0.62833,0.59476,0.94657,,424778.6,4376.48,81911.63
115,115,EDD,1,,0.57738,0.51405,0.89031,,424602.26,18743.76,170878.3
115,115,COLOR_GROUP,1,,0.57738,0.51476,0.89155,,424602.26,18583.68,171351.44
115,115,LOAD_BALANCE,1,,0.57738,0.51405,0.89031,,424602.26,18723.98,170697.94
115,115,OPTIMIZED,1,,0.62786,0.59429,0.94653,,424784.49,4363.31,81603.1
116,116,EDD,1,,0.57857,0.515,0.89012,,424784.11,19631.07,178664.82
116,116,COLOR_GROUP,1,,0.57857,0.515,0.89012,,424784.11,19592.43,178313.08
116,116,LOAD_BALANCE,1,,0.57857,0.515,0.89012,,424784.11,19625.72,178616.07
116,116,OPTIMIZED,1,,0.62881,0.59548,0.94699,,424781.62,4191.46,79068.99
117,117,EDD,1,,0.5819,0.515,0.88502,,424774.46,20262.99,176237.52
117,117,COLOR_GROUP,1,,0.5819,0.515,0.88502,,424774.46,20229.74,175948.33
117,117,LOAD_BALANCE,1,,0.5819,0.515,0.88502,,424774.46,20257.1,176186.33
117,117,OPTIMIZED,1,,0.62786,0.59333,0.94501,,424741.48,4540.83,82580.55
118,118,EDD,1,,0.57048,0.51429,0.9015,2930.93,424631.43,16232.29,164798.99
118,118,COLOR_GROUP,1,,0.57405,0.51429,0.89589,2880.79,424591.4,17572.7,168795.89
118,118,LOAD_BALANCE,1,,0.57048,0.51429,0.9015,2930.93,424631.43,16137.22,163833.78
118,118,OPTIMIZED,1,,0.62786,0.59595,0.94918,2962.51,424745.2,4056.99,79837.94
119,119,EDD,1,,0.5669,0.51452,0.9076,,424773.52,14348.93,155294.58
119,119,COLOR_GROUP,1,,0.5669,0.51452,0.9076,,424773.52,14308.6,154858.09
119,119,LOAD_BALANCE,1,,0.5669,0.51452,0.9076,,424773.52,14336.33,155158.23
119,119,OPTIMIZED,1,,0.62286,0.59071,0.94839,,424795.85,3207.21,62148.65
120,120,EDD,1,,0.57405,0.51214,0.89216,,424665.89,19790.39,183517.81
120,120,COLOR_GROUP,1,,0.57405,0.51214,0.89216,,424665.89,19788.31,183498.48
120,120,LOAD_BALANCE,1,,0.57405,0.51214,0.89216,,424665.89,19764.11,183274.16
120,120,OPTIMIZED,1,,0.62429,0.58786,0.94165,,424774.03,5278.29,90455.38
121,121,EDD,1,,0.56548,0.51524,0.91116,,424602.81,13255.73,149205.5
121,121,COLOR_GROUP,1,,0.56548,0.51524,0.91116,,424602.81,13255.73,149205.5
121,121,LOAD_BALANCE,1,,0.56548,0.51524,0.91116,,424602.81,13233.14,148951.17
121,121,OPTIMIZED,1,,0.615,0.59214,0.96283,,424791.39,2309.45,62138.72
122,122,EDD,1,,0.57952,0.51405,0.88702,,424782.26,20887.68,184874.92
122,122,COLOR_GROUP,1,,0.57952,0.51405,0.88702,,424740.56,20213.86,178911.06
122,122,LOAD_BALANCE,1,,0.57952,0.51405,0.88702,,424782.26,20834.69,184405.98
122,122,OPTIMIZED,1,,0.62714,0.59405,0.94723,,424790.92,4579.68,86783.29
123,123,EDD,1,,0.57619,0.51429,0.89256,,424793.08,19864.61,184893.67
123,123,COLOR_GROUP,1,,0.57619,0.51429,0.89256,,424793.08,19863.88,184886.88
123,123,LOAD_BALANCE,1,,0.57619,0.51429,0.89256,,424793.08,19840.52,184669.48
123,123,OPTIMIZED,1,,0.6269,0.59381,0.94721,,424749.99,4537.09,85943.56
124,124,EDD,1,,0.57595,0.51452,0.89334,1479.62,424648.94,18721.43,175531.57
124,124,COLOR_GROUP,1,,0.57738,0.51452,0.89113,1374.88,424757.25,18547.5,170370.04
124,124,LOAD_BALANCE,1,,0.57595,0.51452,0.89334,1479.62,424648.94,18655.37,174912.18
124,124,OPTIMIZED,1,,0.6281,0.59524,0.94769,1400.13,424767.51,4259.52,81424.68
125,125,EDD,1,,0.565,0.51405,0.90982,,424708.51,18844.93,208967.4
125,125,COLOR_GROUP,1,,0.565,0.51429,0.91024,,424708.51,18441.14,205449.89
125,125,LOAD_BALANCE,1,,0.565,0.51405,0.90982,,424708.51,18797.69,208443.54
125,125,OPTIMIZED,1,,0.62619,0.59548,0.95095,,424763.29,4462.55,90980.63
126,126,EDD,1,,0.57,0.51429,0.90226,,424662.98,19171.51,196139.25
126,126,COLOR_GROUP,1,,0.57,0.51452,0.90267,,424662.98,19163.86,196902.48
126,126,LOAD_BALANCE,1,,0.57,0.51429,0.90226,,424662.98,18915.26,193517.66
126,126,OPTIMIZED,1,,0.62405,0.59167,0.94811,,424776.28,5064.7,97607.25
127,127,EDD,1,,0.55738,0.51214,0.91884,,424705.05,17994.2,221707.52
127,127,COLOR_GROUP,1,,0.55738,0.51214,0.91884,,424705.05,17979.39,221524.99
127,127,LOAD_BALANCE,1,,0.55738,0.51214,0.91884,,424705.05,17984.61,221589.27
127,127,OPTIMIZED,1,,0.62405,0.58714,0.94086,,424763.24,4763.72,80552.96
128,128,EDD,1,,0.57357,0.51429,0.89664,,424716.97,18551.58,179480.95
128,128,COLOR_GROUP,1,,0.57357,0.51429,0.89664,,424602.67,18529.22,179264.66
128,128,LOAD_BALANCE,1,,0.57357,0.51429,0.89664,,424716.97,18485.35,178840.17
128,128,OPTIMIZED,1,,0.62571,0.59238,0.94673,,424761.86,4603.32,86410.94
129,129,EDD,1,,0.57357,0.51381,0.89581,,424702.98,19148.01,183775.16
129,129,COLOR_GROUP,1,,0.57357,0.51381,0.89581,,424702.98,19128.46,183587.46
129,129,LOAD_BALANCE,1,,0.57357,0.51381,0.89581,,424702.98,19098.78,183302.59
129,129,OPTIMIZED,1,,0.62643,0.59357,0.94755,,424743.48,4564.69,87026.71
130,130,EDD,1,,0.54619,0.4981,0.91194,,424765.65,13449.83,152742.16
130,130,COLOR_GROUP,1,,0.54619,0.4981,0.91194,,424765.65,13355.54,151671.34
130,130,LOAD_BALANCE,1,,0.54619,0.4981,0.91194,,424765.65,13314.17,151201.52
